freq,siec,unit,geo\TIME_PERIOD	2016-01 	2016-02 	2016-03 	2016-04 	2016-05 	2016-06 	2016-07 	2016-08 	2016-09 	2016-10 	2016-11 	2016-12 	2017-01 	2017-02 	2017-03 	2017-04 	2017-05 	2017-06 	2017-07 	2017-08 	2017-09 	2017-10 	2017-11 	2017-12 	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 	2024-01 	2024-02 
M,CF_NR,GWH,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116.000 e	90.000 e	102.000 e	106.000 e	104.000 e	109.000 e	109.000 e	100.000 e	90.000 e	87.000 e	105.000 e	100.000 e	116.000 e	116.000 e	116.000 e	116.000 e	104.000 e	109.000 e	109.000 e	116.000 e	116.000 	87.000 	100.000 	64.000 	164.962 	143.233 	132.589 	123.254 	130.361 	128.719 	131.361 	128.987 	98.462 	130.932 e	126.539 	137.429 	135.971 	124.740 	112.473 	138.467 	153.639 	136.960 	139.129 	137.424 	127.580 	137.838 	127.666 	143.007 	139.127 	101.259 	132.047 	131.933 	140.820 	122.914 	152.417 	156.663 	124.189 	111.706 	118.723 	143.975 	135.632 	122.772 	142.656 	128.757 	133.962 	138.644 	144.033 	155.439 	130.161 	126.679 	116.587 	122.530 	142.157 	137.086 	145.809 	141.220 	114.835 	110.263 	123.732 	149.635 	138.952 	135.661 	119.915 	126.262 	: 	: 
M,CF_NR,GWH,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.404 	53.024 	51.414 	56.112 	58.937 	59.071 	62.231 	55.994 	48.274 	67.586 	56.778 	55.954 	58.068 	53.287 	58.585 	53.006 	263.625 	258.657 	60.962 	67.234 	52.963 	58.716 	58.258 	66.924 	67.055 	61.841 	67.939 	66.272 	57.401 	52.814 	54.888 	57.742 	51.718 	47.770 	52.231 	62.762 	64.503 	57.247 	59.912 	60.394 	56.376 	54.158 	59.565 	57.924 	46.934 	43.422 	53.863 	122.258 	116.445 	105.575 	119.008 	114.729 	127.683 	121.280 	126.146 	126.007 	114.834 	120.839 	127.189 	128.418 	134.057 	115.535 	138.112 	126.929 	116.954 	205.970 	259.669 	238.359 	197.331 	203.062 	198.667 	211.400 	215.560 	198.891 	197.010 	201.542 	110.195 	160.574 	214.913 	207.181 	199.692 	204.483 	213.665 	203.727 	195.264 	: 
M,CF_NR,GWH,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103.236 	98.819 	98.581 	121.552 	118.626 	127.147 	140.577 	159.349 	84.137 	95.758 	82.504 	83.665 	94.730 	92.715 	105.847 	65.746 	102.054 	105.929 	115.220 	107.701 	103.229 	109.716 	108.311 	102.940 	98.348 	70.730 	90.399 	93.124 	86.020 	90.691 	106.778 	100.318 	90.012 	108.818 	83.215 	81.854 	90.626 	97.996 	114.103 	72.093 	80.199 	88.308 	98.590 	94.638 	83.959 	94.870 	96.959 	104.045 	88.001 	102.490 	100.772 	110.843 	121.525 	127.927 	100.963 	104.235 	95.997 	87.301 	90.950 	95.998 	110.219 	109.462 	107.210 	97.834 	101.727 	78.367 	104.999 	99.335 	69.237 	80.154 	86.633 	89.343 	85.141 	85.289 	69.486 	98.982 	98.073 	105.137 	89.372 	92.004 	103.803 	109.304 	96.564 	109.505 	103.881 	: 
M,CF_NR,GWH,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31.322 	28.199 	29.615 	29.561 	15.078 	25.648 	30.510 	29.521 	30.043 	28.000 	23.000 	33.000 	30.000 	25.000 	28.000 	25.000 	26.000 	30.000 	27.000 	30.000 	25.000 	21.000 	8.000 	24.000 	28.000 	23.000 	23.000 	25.000 	23.925 	26.897 	27.809 	25.114 	25.778 	24.601 	15.397 	21.227 	25.817 	21.752 	27.442 	22.093 	26.451 	23.595 	22.257 	22.501 	24.897 	16.435 	14.356 	24.954 	26.071 	20.004 	25.659 	23.021 	26.436 	27.360 	21.164 	22.585 	25.129 	25.380 	26.054 	25.310 	23.973 	23.609 	22.096 	20.440 	12.347 	12.697 	25.309 	26.723 	21.482 	21.295 	19.235 	24.492 	24.264 	21.335 	25.772 	19.254 	19.006 	22.029 	22.395 	20.458 	9.874 	2.585 	6.997 	12.903 	21.628 	: 
M,CF_NR,GWH,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
M,CF_NR,GWH,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.425 	0.434 	0.648 	0.618 	0.612 	0.635 	0.371 	0.624 	0.627 	0.583 	0.531 	0.461 	0.408 	0.441 	0.564 	0.624 	1.171 	0.636 	3.191 	1.635 	2.431 	3.981 	0.485 	0.555 	0.497 	: 
M,CF_NR,GWH,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	203.727 	181.547 	194.382 	181.092 	151.448 	142.568 	147.809 	110.686 	128.496 	160.292 	157.815 	165.562 	204.470 	164.878 	164.413 	162.727 	146.057 	136.406 	146.383 	132.951 	101.617 	163.552 	188.055 	258.679 	210.541 	188.373 	181.149 	138.420 	106.950 	89.091 	147.724 	118.660 	97.589 	143.420 	144.939 	160.376 	171.659 	141.887 	144.306 	128.284 	129.248 	129.448 	131.057 	72.629 	116.016 	153.203 	142.845 	175.824 	201.000 	173.000 	175.000 	153.000 	154.000 	146.000 	127.000 	97.000 	85.000 	114.000 	128.000 	147.000 	154.000 	115.000 	146.000 	142.000 	136.000 	126.000 	133.000 	89.000 	83.000 	115.000 	127.000 	139.000 	125.000 	139.000 	125.000 	128.000 	109.000 	106.000 	119.000 	104.000 	80.000 	81.000 	266.000 	279.000 	137.000 	: 
M,CF_NR,GWH,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.862 	0.751 	0.764 	0.682 	0.802 	0.518 	0.000 	0.500 	0.465 	0.449 	0.870 	0.790 	0.932 	0.903 	1.006 	0.672 	0.670 	0.000 	0.560 	0.798 	0.793 	0.844 	0.793 	0.605 	0.876 	0.768 	0.801 	0.636 	0.688 	0.537 	0.836 	0.753 	0.599 	0.231 	0.813 	0.417 	0.816 	0.818 	0.938 	0.849 	0.273 	0.865 	0.845 	0.763 	0.615 	0.143 	0.773 	0.629 	0.715 	0.784 	0.818 	0.384 	0.818 	0.866 	0.628 	0.925 	0.000 	0.535 	0.707 	0.904 	0.914 	0.845 	0.845 	0.866 	0.913 	0.796 	0.769 	0.870 	0.438 	0.266 	0.680 	0.483 	0.759 	0.657 	0.856 	0.814 	0.437 	0.774 	0.648 	0.746 	0.522 	0.000 	0.685 	0.592 	: 	: 
M,CF_NR,GWH,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.000 	42.000 	42.000 	42.000 	43.000 	44.000 	41.000 	42.000 	24.000 	42.000 	37.000 	38.000 	41.000 	39.000 	42.000 	41.000 	40.000 	38.000 	36.000 	42.000 	31.000 	39.000 	37.000 	41.000 	39.000 	35.000 	38.000 	38.000 	39.000 	39.000 	41.000 	40.000 	0.000 	28.000 	39.000 	43.000 	43.000 	44.000 	36.000 	38.000 	39.000 	38.000 	44.000 	30.000 	39.000 	43.000 	42.000 	45.000 	68.000 	123.000 	128.000 	60.000 	97.000 	67.000 	123.000 	72.000 	45.000 	145.000 	157.000 	147.000 	92.000 	122.000 	129.000 	57.000 	49.000 	46.000 	4.000 	4.000 	4.000 	2.000 	0.000 	59.000 	111.000 	82.000 	5.000 	45.000 	39.000 	4.000 	7.000 	8.000 	7.000 	68.000 	69.000 	55.000 	36.000 	: 
M,CF_NR,GWH,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.927 e	1.382 e	1.736 e	1.947 e	2.340 e	2.240 	2.514 	2.356 	2.514 	2.570 	2.793 	3.323 	3.294 	2.952 	3.515 	6.771 	2.938 	2.860 	3.493 	2.889 	1.455 	0.308 	0.276 	1.408 	0.621 	0.428 	1.051 	1.061 	1.102 	0.724 	0.707 	0.631 	0.454 	1.052 	0.609 	0.988 	0.970 	1.265 	1.211 	1.125 	0.842 	0.901 	1.511 	1.469 	0.726 	0.727 	0.569 	1.367 	1.314 	1.147 	1.500 	2.012 	1.035 	1.162 	2.215 	1.225 	1.088 	1.331 	1.318 	1.927 	0.714 	0.721 	1.022 	2.211 	3.204 	2.501 	3.106 	3.410 	2.518 	2.828 	0.778 	1.113 	1.351 	1.885 	1.417 	1.018 	0.004 	0.165 	0.381 	0.663 	0.410 	0.271 	0.153 	0.000 	0.000 	: 
M,CF_NR,GWH,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,CF_NR,GWH,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	441.821 	411.770 	450.915 	400.447 	425.143 	423.044 	442.745 	444.680 	424.369 	471.927 	448.551 	478.509 	494.837 	444.180 	482.571 	440.324 	476.159 	449.684 	435.958 	460.247 	430.204 	455.171 	428.542 	447.792 	473.306 	426.983 	479.397 	431.139 	457.228 	459.544 	461.249 	468.724 	438.135 	477.204 	465.805 	509.098 	544.051 	512.155 	547.703 	472.598 	502.313 	483.163 	474.860 	461.206 	443.538 	473.786 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,CF_NR,GWH,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 
M,CF_R,GWH,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
M,CF_R,GWH,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	203.386 	190.172 	210.805 	189.809 	196.017 	203.094 	217.369 	206.402 	224.947 	195.543 	183.302 	213.074 	217.193 	201.678 	220.231 	199.743 	192.838 	201.477 	202.459 	214.046 	219.732 	196.507 	211.277 	241.364 	217.557 	195.751 	217.640 	215.338 	209.655 	207.302 	215.282 	210.668 	204.098 	162.255 	192.316 	198.580 	234.055 	219.497 	239.181 	223.680 	211.815 	198.625 	218.805 	226.927 	227.160 	220.961 	217.140 	270.848 	261.655 	215.044 	229.285 	219.099 	217.535 	184.263 	183.641 	199.477 	194.906 	221.498 	224.820 	234.655 	230.952 	215.265 	244.980 	228.967 	219.056 	203.256 	229.963 	212.977 	215.905 	234.569 	232.569 	235.078 	230.034 	223.734 	242.519 	213.122 	227.364 	160.551 	204.712 	208.790 	196.339 	223.401 	246.776 	244.387 	241.363 	231.252 
M,CF_R,GWH,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
