date,Austria,Belgium,Bulgaria,Switzerland,Czech Republic,Germany,Denmark,Estonia,Spain,Finland,France,Great Britain,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Netherlands,Norway,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
2008-01-01,-0.2610309139784946,4.902952956989247,-1.3040147849462367,0.1306572580645161,-0.021564516129032263,2.4806733870967745,3.4690147849462365,-1.9359543010752687,8.9842688172043,-3.4393051075268817,5.11972311827957,6.011954301075269,6.982849462365591,2.254383064516129,-0.6066209677419355,6.589485215053764,6.102944892473118,-2.6074905913978492,2.4652567204301077,-2.2276639784946237,5.397701612903226,-1.9017983870967743,-0.23131854838709678,11.353680107526882,-2.5891424731182795,0.49925806451612903,1.1261639784946236,-1.549181451612903
2008-02-01,1.0936465517241378,4.1886508620689655,1.8630991379310347,1.2473893678160919,1.5465675287356322,2.9541063218390806,3.959297413793103,0.22231752873563218,9.783679597701148,-2.716021551724138,5.396469827586206,4.89701724137931,7.864877873563218,4.023852011494253,2.621359195402299,6.231186781609195,6.2383405172413795,0.5679856321839081,2.593573275862069,0.6357126436781609,4.541244252873564,-0.7227988505747126,1.9237155172413793,11.788462643678162,1.3005718390804597,1.1508548850574714,2.0915977011494253,0.7630761494252873
2008-03-01,2.5097002688172045,5.407650537634408,6.973787634408602,1.4907352150537634,2.7149018817204302,3.7269663978494623,3.340170698924731,-0.3954032258064516,10.627724462365592,-3.157595430107527,6.145522849462366,5.284884408602151,12.002952956989247,6.387065860215054,5.605260752688173,5.923872311827957,8.69238440860215,1.1927849462365592,3.6527526881720433,0.5915094086021505,5.466979838709677,-1.9319260752688172,2.9951155913978496,11.794797043010753,5.9042419354838716,0.2417513440860215,4.021850806451613,3.010513440860215
2008-04-01,7.2445055555555555,8.051208333333333,11.177686111111111,5.5858791666666665,7.692891666666666,7.323924999999999,6.8602625,5.613794444444444,13.448102777777779,3.6870041666666666,8.910909722222222,7.208097222222222,14.400559722222223,10.958330555555555,11.200966666666666,7.3743,11.850402777777779,7.635833333333333,6.8805555555555555,6.810122222222222,8.165833333333333,3.177184722222222,8.297605555555556,14.265118055555556,10.863859722222223,5.474919444444445,8.824198611111111,8.911325000000001
2008-05-01,13.384868279569893,15.051100806451613,15.680344086021504,13.010025537634409,13.45754435483871,14.350442204301075,12.41192741935484,9.816979838709678,15.624686827956989,8.752728494623655,15.126436827956988,12.47671505376344,19.06158870967742,16.42876075268817,16.980103494623656,12.116134408602152,16.912180107526883,11.316243279569893,14.323444892473118,10.489831989247312,14.581918010752688,8.819177419354839,13.324819892473117,15.140717741935482,15.553001344086022,10.864529569892474,14.527459677419355,14.177780913978495
2008-06-01,17.424123611111114,15.80626111111111,20.928805555555556,15.63782638888889,17.8212875,17.027597222222223,14.745145833333332,14.047799999999999,20.258316666666666,13.197355555555555,16.877263888888887,13.916744444444445,24.454754166666664,20.574369444444446,21.300269444444442,13.0458125,21.26557638888889,15.008397222222223,16.111475000000002,14.491373611111111,16.165452777777777,12.1750625,18.085215277777777,19.24724722222222,20.6299125,14.557808333333332,18.451179166666666,18.65905972222222
2008-07-01,17.828978494623655,17.469521505376346,22.699575268817206,16.63227956989247,18.81093817204301,18.353630376344086,17.426725806451614,17.1218561827957,23.293006720430107,15.868698924731182,18.688692204301077,16.011068548387097,26.61727822580645,22.28337365591398,21.85008198924731,14.803172043010752,23.935732526881722,17.366202956989248,17.599766129032258,17.27964247311828,17.877264784946234,15.489556451612902,19.397538978494623,20.727237903225806,21.976352150537636,17.47911559139785,19.809103494623656,19.00572311827957
2008-08-01,17.732397849462366,17.110603494623657,24.179551075268815,16.404092741935486,18.57624865591398,17.83166801075269,16.904994623655917,16.046397849462366,23.831864247311827,13.828443548387096,18.58673387096774,15.90831317204301,27.050912634408604,22.609591397849464,22.152759408602147,14.962080645161292,24.525827956989247,17.182565860215053,16.983288978494624,16.84056989247312,17.538666666666668,13.09572311827957,19.041543010752687,20.606978494623657,23.47539247311828,15.301504032258064,19.876848118279568,19.083375
2008-09-01,12.00746388888889,13.008895833333334,16.795443055555555,11.170997222222223,12.573791666666665,12.711908333333334,13.411545833333333,10.704759722222223,19.82197222222222,8.837630555555556,14.179768055555558,13.084331944444443,21.70951388888889,15.834294444444444,15.539940277777777,12.62797638888889,18.828819444444445,11.438441666666666,11.876413888888889,11.180781944444444,13.904969444444443,9.408758333333333,12.986650000000001,19.15635138888889,15.6444375,10.995631944444444,13.601025,12.97555138888889
2008-10-01,9.22271370967742,9.652599462365592,12.465004032258063,8.412745967741936,8.55746370967742,8.984201612903226,9.89378494623656,8.576862903225805,15.430731182795698,6.5754946236559135,10.968837365591398,9.378002688172044,17.355926075268815,13.14927688172043,11.966888440860215,9.557911290322581,15.735498655913977,7.924639784946236,8.43694758064516,8.209854838709678,10.22561559139785,5.166459677419355,9.18740322580645,15.923755376344085,11.85250940860215,7.588088709677419,11.187763440860214,9.496620967741935
2008-11-01,3.4729083333333337,6.038656944444444,6.840627777777779,2.1349430555555555,3.943563888888889,4.514638888888888,5.9956708333333335,2.7114180555555554,9.357658333333333,0.4552875,6.696325000000001,6.625211111111112,13.540715277777778,7.333881944444445,5.6996513888888884,7.564109722222222,10.015147222222222,2.143686111111111,4.388481944444444,2.283704166666667,6.773816666666667,0.2046402777777778,4.3503,11.072698611111111,5.110234722222223,2.0768,5.0521666666666665,4.210994444444444
